Cluster_norm,Cluster
Cluster-49324.8,Cluster_49324_8.p1
Cluster-12711.0,Cluster_12711_0.p1
Cluster-31289.0,Cluster_31289_0.p1
Cluster-49324.9,Cluster_49324_9.p1
Cluster-49324.9,Cluster_49324_9.p2
Cluster-20514.0,Cluster_20514_0.p1
Cluster-20514.0,Cluster_20514_0.p2
Cluster-20514.0,Cluster_20514_0.p3
Cluster-16394.1,Cluster_16394_1.p1
Cluster-16394.1,Cluster_16394_1.p2
Cluster-16394.0,Cluster_16394_0.p1
Cluster-16394.0,Cluster_16394_0.p2
Cluster-19936.0,Cluster_19936_0.p1
Cluster-15386.0,Cluster_15386_0.p1
Cluster-44311.1,Cluster_44311_1.p1
Cluster-44311.1,Cluster_44311_1.p2
Cluster-44311.2,Cluster_44311_2.p1
Cluster-44311.2,Cluster_44311_2.p2
Cluster-15383.2,Cluster_15383_2.p1
Cluster-45116.2,Cluster_45116_2.p1
Cluster-45116.2,Cluster_45116_2.p2
Cluster-18511.1,Cluster_18511_1.p1
Cluster-18511.1,Cluster_18511_1.p2
Cluster-57119.0,Cluster_57119_0.p1
Cluster-57119.0,Cluster_57119_0.p2
Cluster-12109.1,Cluster_12109_1.p1
Cluster-32425.0,Cluster_32425_0.p1
Cluster-25131.2,Cluster_25131_2.p1
Cluster-25131.2,Cluster_25131_2.p2
Cluster-25131.2,Cluster_25131_2.p3
Cluster-51938.0,Cluster_51938_0.p1
Cluster-43702.0,Cluster_43702_0.p1
Cluster-43702.0,Cluster_43702_0.p2
Cluster-53396.0,Cluster_53396_0.p1
Cluster-19867.0,Cluster_19867_0.p1
Cluster-61500.0,Cluster_61500_0.p1
Cluster-61500.0,Cluster_61500_0.p2
Cluster-9900.0,Cluster_9900_0.p1
Cluster-27302.0,Cluster_27302_0.p1
Cluster-39457.1,Cluster_39457_1.p1
Cluster-39457.1,Cluster_39457_1.p2
Cluster-27283.0,Cluster_27283_0.p1
Cluster-57155.0,Cluster_57155_0.p1
Cluster-57155.0,Cluster_57155_0.p2
Cluster-42402.2,Cluster_42402_2.p1
Cluster-42402.2,Cluster_42402_2.p2
Cluster-42402.2,Cluster_42402_2.p3
Cluster-42402.2,Cluster_42402_2.p4
Cluster-30226.0,Cluster_30226_0.p1
Cluster-30226.0,Cluster_30226_0.p2
Cluster-30226.0,Cluster_30226_0.p3
Cluster-30226.2,Cluster_30226_2.p1
Cluster-53079.1,Cluster_53079_1.p1
Cluster-53079.1,Cluster_53079_1.p2
Cluster-39235.1,Cluster_39235_1.p1
Cluster-39235.4,Cluster_39235_4.p1
Cluster-36017.1,Cluster_36017_1.p1
Cluster-36017.0,Cluster_36017_0.p1
Cluster-39695.7,Cluster_39695_7.p1
Cluster-39695.7,Cluster_39695_7.p2
Cluster-39695.7,Cluster_39695_7.p3
Cluster-39695.8,Cluster_39695_8.p1
Cluster-39695.8,Cluster_39695_8.p2
Cluster-43631.1,Cluster_43631_1.p1
Cluster-43631.1,Cluster_43631_1.p2
Cluster-43642.0,Cluster_43642_0.p1
Cluster-43508.4,Cluster_43508_4.p1
Cluster-43508.5,Cluster_43508_5.p1
Cluster-43508.6,Cluster_43508_6.p1
Cluster-43508.0,Cluster_43508_0.p1
Cluster-43508.1,Cluster_43508_1.p1
Cluster-43508.2,Cluster_43508_2.p1
Cluster-43508.3,Cluster_43508_3.p1
Cluster-43508.8,Cluster_43508_8.p1
Cluster-43508.9,Cluster_43508_9.p1
Cluster-43508.9,Cluster_43508_9.p2
Cluster-43508.9,Cluster_43508_9.p3
Cluster-51377.1,Cluster_51377_1.p1
Cluster-51377.1,Cluster_51377_1.p2
Cluster-50068.1,Cluster_50068_1.p1
Cluster-50373.0,Cluster_50373_0.p1
Cluster-50373.0,Cluster_50373_0.p2
Cluster-50373.0,Cluster_50373_0.p3
Cluster-50373.0,Cluster_50373_0.p4
Cluster-50373.0,Cluster_50373_0.p5
Cluster-13564.0,Cluster_13564_0.p1
Cluster-7747.2,Cluster_7747_2.p1
Cluster-53917.0,Cluster_53917_0.p1
Cluster-53917.0,Cluster_53917_0.p2
Cluster-47492.1,Cluster_47492_1.p1
Cluster-47492.1,Cluster_47492_1.p2
Cluster-47492.2,Cluster_47492_2.p1
Cluster-47492.2,Cluster_47492_2.p2
Cluster-43263.32,Cluster_43263_32.p1
Cluster-43263.32,Cluster_43263_32.p2
Cluster-50569.1,Cluster_50569_1.p1
Cluster-1463.10,Cluster_1463_10.p1
Cluster-41234.2,Cluster_41234_2.p1
Cluster-58529.0,Cluster_58529_0.p1
Cluster-53332.0,Cluster_53332_0.p1
Cluster-53332.0,Cluster_53332_0.p2
Cluster-39849.0,Cluster_39849_0.p1
Cluster-39678.1,Cluster_39678_1.p1
Cluster-39678.1,Cluster_39678_1.p2
Cluster-39678.1,Cluster_39678_1.p3
Cluster-39678.0,Cluster_39678_0.p1
Cluster-13650.0,Cluster_13650_0.p1
Cluster-38596.1,Cluster_38596_1.p1
Cluster-38596.1,Cluster_38596_1.p2
Cluster-45841.0,Cluster_45841_0.p1
Cluster-45841.0,Cluster_45841_0.p2
Cluster-45841.1,Cluster_45841_1.p1
Cluster-55925.0,Cluster_55925_0.p1
Cluster-55925.1,Cluster_55925_1.p1
Cluster-54098.0,Cluster_54098_0.p1
Cluster-57794.0,Cluster_57794_0.p1
Cluster-57794.0,Cluster_57794_0.p2
Cluster-57794.0,Cluster_57794_0.p3
Cluster-57794.2,Cluster_57794_2.p1
Cluster-52992.0,Cluster_52992_0.p1
Cluster-52992.0,Cluster_52992_0.p2
Cluster-21981.1,Cluster_21981_1.p1
Cluster-21981.3,Cluster_21981_3.p1
Cluster-21981.2,Cluster_21981_2.p1
Cluster-21981.5,Cluster_21981_5.p1
Cluster-21981.7,Cluster_21981_7.p1
Cluster-21981.6,Cluster_21981_6.p1
Cluster-21981.9,Cluster_21981_9.p1
Cluster-21981.8,Cluster_21981_8.p1
Cluster-21981.8,Cluster_21981_8.p2
Cluster-59883.0,Cluster_59883_0.p1
Cluster-41520.3,Cluster_41520_3.p1
Cluster-49774.0,Cluster_49774_0.p1
Cluster-47999.0,Cluster_47999_0.p1
Cluster-47999.0,Cluster_47999_0.p2
Cluster-47999.0,Cluster_47999_0.p3
Cluster-47999.0,Cluster_47999_0.p4
Cluster-47999.0,Cluster_47999_0.p5
Cluster-33110.6,Cluster_33110_6.p1
Cluster-33110.0,Cluster_33110_0.p1
Cluster-33110.2,Cluster_33110_2.p1
Cluster-33110.2,Cluster_33110_2.p2
Cluster-33110.2,Cluster_33110_2.p3
Cluster-33110.3,Cluster_33110_3.p1
Cluster-33110.3,Cluster_33110_3.p2
Cluster-37408.8,Cluster_37408_8.p1
Cluster-37408.8,Cluster_37408_8.p2
Cluster-37408.9,Cluster_37408_9.p1
Cluster-37408.9,Cluster_37408_9.p2
Cluster-30313.0,Cluster_30313_0.p1
Cluster-35053.0,Cluster_35053_0.p1
Cluster-35053.0,Cluster_35053_0.p2
Cluster-35053.0,Cluster_35053_0.p3
Cluster-37408.0,Cluster_37408_0.p1
Cluster-37408.0,Cluster_37408_0.p2
Cluster-37408.1,Cluster_37408_1.p1
Cluster-37408.1,Cluster_37408_1.p2
Cluster-37408.7,Cluster_37408_7.p1
Cluster-37408.7,Cluster_37408_7.p2
Cluster-37408.4,Cluster_37408_4.p1
Cluster-37408.4,Cluster_37408_4.p2
Cluster-43258.1,Cluster_43258_1.p1
Cluster-43258.1,Cluster_43258_1.p2
Cluster-43258.1,Cluster_43258_1.p3
Cluster-48448.0,Cluster_48448_0.p1
Cluster-48448.0,Cluster_48448_0.p2
Cluster-25595.2,Cluster_25595_2.p1
Cluster-25595.2,Cluster_25595_2.p2
Cluster-25595.2,Cluster_25595_2.p3
Cluster-25595.0,Cluster_25595_0.p1
Cluster-25595.1,Cluster_25595_1.p1
Cluster-49868.0,Cluster_49868_0.p1
Cluster-49868.0,Cluster_49868_0.p2
Cluster-35217.0,Cluster_35217_0.p1
Cluster-18697.0,Cluster_18697_0.p1
Cluster-36353.0,Cluster_36353_0.p1
Cluster-36353.1,Cluster_36353_1.p1
Cluster-55370.0,Cluster_55370_0.p1
Cluster-56981.3,Cluster_56981_3.p1
Cluster-56981.3,Cluster_56981_3.p2
Cluster-56981.1,Cluster_56981_1.p1
Cluster-56981.1,Cluster_56981_1.p2
Cluster-40721.0,Cluster_40721_0.p1
Cluster-40721.0,Cluster_40721_0.p2
Cluster-40721.1,Cluster_40721_1.p1
Cluster-40721.1,Cluster_40721_1.p2
Cluster-40721.2,Cluster_40721_2.p1
Cluster-40721.2,Cluster_40721_2.p2
Cluster-40721.2,Cluster_40721_2.p3
Cluster-40721.3,Cluster_40721_3.p1
Cluster-40721.3,Cluster_40721_3.p2
Cluster-45110.0,Cluster_45110_0.p1
Cluster-45110.0,Cluster_45110_0.p2
Cluster-20251.0,Cluster_20251_0.p1
Cluster-25394.0,Cluster_25394_0.p1
Cluster-27925.0,Cluster_27925_0.p1
Cluster-27878.0,Cluster_27878_0.p1
Cluster-30393.0,Cluster_30393_0.p1
Cluster-34589.0,Cluster_34589_0.p1
Cluster-34589.0,Cluster_34589_0.p2
Cluster-34408.0,Cluster_34408_0.p1
Cluster-34408.0,Cluster_34408_0.p2
Cluster-62084.0,Cluster_62084_0.p1
Cluster-43738.0,Cluster_43738_0.p1
Cluster-43738.0,Cluster_43738_0.p2
Cluster-43738.0,Cluster_43738_0.p3
Cluster-148.1,Cluster_148_1.p1
Cluster-148.1,Cluster_148_1.p2
Cluster-148.1,Cluster_148_1.p3
Cluster-148.0,Cluster_148_0.p1
Cluster-148.0,Cluster_148_0.p2
Cluster-148.0,Cluster_148_0.p3
Cluster-47729.0,Cluster_47729_0.p1
Cluster-47729.0,Cluster_47729_0.p2
Cluster-28942.1,Cluster_28942_1.p1
Cluster-28942.0,Cluster_28942_0.p1
Cluster-30163.0,Cluster_30163_0.p1
Cluster-30032.2,Cluster_30032_2.p1
Cluster-4552.17,Cluster_4552_17.p1
Cluster-4552.16,Cluster_4552_16.p1
Cluster-4552.15,Cluster_4552_15.p1
Cluster-4552.10,Cluster_4552_10.p1
Cluster-4552.10,Cluster_4552_10.p2
Cluster-11557.1,Cluster_11557_1.p1
Cluster-55770.0,Cluster_55770_0.p1
Cluster-55770.0,Cluster_55770_0.p2
Cluster-58502.1,Cluster_58502_1.p1
Cluster-11626.0,Cluster_11626_0.p1
Cluster-11626.0,Cluster_11626_0.p2
Cluster-42341.4,Cluster_42341_4.p1
Cluster-42341.5,Cluster_42341_5.p1
Cluster-42341.0,Cluster_42341_0.p1
Cluster-35367.0,Cluster_35367_0.p1
Cluster-35367.0,Cluster_35367_0.p2
Cluster-42341.2,Cluster_42341_2.p1
Cluster-42341.3,Cluster_42341_3.p1
Cluster-17692.0,Cluster_17692_0.p1
Cluster-15323.0,Cluster_15323_0.p1
Cluster-61272.0,Cluster_61272_0.p1
Cluster-40462.3,Cluster_40462_3.p1
Cluster-31410.0,Cluster_31410_0.p1
Cluster-58429.1,Cluster_58429_1.p1
Cluster-42166.2,Cluster_42166_2.p1
Cluster-42166.2,Cluster_42166_2.p2
Cluster-42166.2,Cluster_42166_2.p3
Cluster-42166.2,Cluster_42166_2.p4
Cluster-37607.1,Cluster_37607_1.p1
Cluster-37607.0,Cluster_37607_0.p1
Cluster-37607.0,Cluster_37607_0.p2
Cluster-37607.0,Cluster_37607_0.p3
Cluster-37607.0,Cluster_37607_0.p4
Cluster-37607.0,Cluster_37607_0.p5
Cluster-6072.0,Cluster_6072_0.p1
Cluster-59861.0,Cluster_59861_0.p1
Cluster-36826.1,Cluster_36826_1.p1
Cluster-36826.0,Cluster_36826_0.p1
Cluster-36826.0,Cluster_36826_0.p2
Cluster-36826.0,Cluster_36826_0.p3
Cluster-36826.0,Cluster_36826_0.p4
Cluster-36826.0,Cluster_36826_0.p5
Cluster-36826.3,Cluster_36826_3.p1
Cluster-36826.3,Cluster_36826_3.p2
Cluster-36826.3,Cluster_36826_3.p3
Cluster-36826.3,Cluster_36826_3.p4
Cluster-36826.3,Cluster_36826_3.p5
Cluster-36826.2,Cluster_36826_2.p1
Cluster-36826.2,Cluster_36826_2.p2
Cluster-36826.2,Cluster_36826_2.p3
Cluster-55613.0,Cluster_55613_0.p1
Cluster-55613.0,Cluster_55613_0.p2
Cluster-55613.0,Cluster_55613_0.p3
Cluster-55613.0,Cluster_55613_0.p4
Cluster-41326.2,Cluster_41326_2.p1
Cluster-41403.3,Cluster_41403_3.p1
Cluster-41403.3,Cluster_41403_3.p2
Cluster-53219.0,Cluster_53219_0.p1
Cluster-53219.0,Cluster_53219_0.p2
Cluster-18511.0,Cluster_18511_0.p1
Cluster-18511.0,Cluster_18511_0.p2
Cluster-46696.1,Cluster_46696_1.p1
Cluster-41116.0,Cluster_41116_0.p1
Cluster-41116.0,Cluster_41116_0.p2
Cluster-41116.0,Cluster_41116_0.p3
Cluster-41116.0,Cluster_41116_0.p4
Cluster-41116.0,Cluster_41116_0.p5
Cluster-31096.5,Cluster_31096_5.p1
Cluster-39008.0,Cluster_39008_0.p1
Cluster-39008.0,Cluster_39008_0.p2
Cluster-35932.0,Cluster_35932_0.p1
Cluster-35932.0,Cluster_35932_0.p2
Cluster-35932.0,Cluster_35932_0.p3
Cluster-35932.0,Cluster_35932_0.p4
Cluster-11153.0,Cluster_11153_0.p1
Cluster-12457.0,Cluster_12457_0.p1
Cluster-40811.1,Cluster_40811_1.p1
Cluster-40811.1,Cluster_40811_1.p2
Cluster-55256.0,Cluster_55256_0.p1
Cluster-55256.0,Cluster_55256_0.p2
Cluster-55256.0,Cluster_55256_0.p3
Cluster-55175.0,Cluster_55175_0.p1
Cluster-55175.0,Cluster_55175_0.p2
Cluster-53806.0,Cluster_53806_0.p1
Cluster-55335.0,Cluster_55335_0.p1
Cluster-5779.11,Cluster_5779_11.p1
Cluster-5779.10,Cluster_5779_10.p1
Cluster-40621.8,Cluster_40621_8.p1
Cluster-40621.8,Cluster_40621_8.p2
Cluster-40621.8,Cluster_40621_8.p3
Cluster-47206.0,Cluster_47206_0.p1
Cluster-33204.0,Cluster_33204_0.p1
Cluster-16881.0,Cluster_16881_0.p1
Cluster-16251.0,Cluster_16251_0.p1
Cluster-4319.7,Cluster_4319_7.p1
Cluster-4319.5,Cluster_4319_5.p1
Cluster-4319.5,Cluster_4319_5.p2
Cluster-4319.3,Cluster_4319_3.p1
Cluster-4319.1,Cluster_4319_1.p1
Cluster-4319.1,Cluster_4319_1.p2
Cluster-40169.0,Cluster_40169_0.p1
Cluster-15491.0,Cluster_15491_0.p1
Cluster-15491.0,Cluster_15491_0.p2
Cluster-15491.0,Cluster_15491_0.p3
Cluster-54313.0,Cluster_54313_0.p1
Cluster-36964.3,Cluster_36964_3.p1
Cluster-54958.0,Cluster_54958_0.p1
Cluster-54958.0,Cluster_54958_0.p2
Cluster-54958.0,Cluster_54958_0.p3
Cluster-37552.2,Cluster_37552_2.p1
Cluster-37552.2,Cluster_37552_2.p2
Cluster-37552.0,Cluster_37552_0.p1
Cluster-37552.0,Cluster_37552_0.p2
Cluster-37552.6,Cluster_37552_6.p1
Cluster-37552.6,Cluster_37552_6.p2
Cluster-37552.7,Cluster_37552_7.p1
Cluster-37552.7,Cluster_37552_7.p2
Cluster-37552.8,Cluster_37552_8.p1
Cluster-37552.8,Cluster_37552_8.p2
Cluster-42166.1,Cluster_42166_1.p1
Cluster-42166.1,Cluster_42166_1.p2
Cluster-42166.1,Cluster_42166_1.p3
Cluster-42166.1,Cluster_42166_1.p4
Cluster-39855.0,Cluster_39855_0.p1
Cluster-22097.0,Cluster_22097_0.p1
Cluster-22097.0,Cluster_22097_0.p2
Cluster-5442.0,Cluster_5442_0.p1
Cluster-1422.0,Cluster_1422_0.p1
Cluster-7504.6,Cluster_7504_6.p1
Cluster-7504.5,Cluster_7504_5.p1
Cluster-7504.4,Cluster_7504_4.p1
Cluster-7504.3,Cluster_7504_3.p1
Cluster-7504.2,Cluster_7504_2.p1
Cluster-32125.0,Cluster_32125_0.p1
Cluster-40876.3,Cluster_40876_3.p1
Cluster-40876.3,Cluster_40876_3.p2
Cluster-40876.3,Cluster_40876_3.p3
Cluster-40876.3,Cluster_40876_3.p4
Cluster-51147.0,Cluster_51147_0.p1
Cluster-51147.0,Cluster_51147_0.p2
Cluster-34238.0,Cluster_34238_0.p1
Cluster-34238.0,Cluster_34238_0.p2
Cluster-34238.0,Cluster_34238_0.p3
Cluster-48727.0,Cluster_48727_0.p1
Cluster-48727.0,Cluster_48727_0.p2
Cluster-43690.0,Cluster_43690_0.p1
Cluster-35804.0,Cluster_35804_0.p1
Cluster-35804.1,Cluster_35804_1.p1
Cluster-35804.1,Cluster_35804_1.p2
Cluster-60685.0,Cluster_60685_0.p1
Cluster-60685.0,Cluster_60685_0.p2
Cluster-28839.3,Cluster_28839_3.p1
Cluster-28839.0,Cluster_28839_0.p1
Cluster-28839.0,Cluster_28839_0.p2
Cluster-28839.1,Cluster_28839_1.p1
Cluster-28839.7,Cluster_28839_7.p1
Cluster-28839.8,Cluster_28839_8.p1
Cluster-28839.9,Cluster_28839_9.p1
Cluster-543.0,Cluster_543_0.p1
Cluster-43332.4,Cluster_43332_4.p1
Cluster-43332.4,Cluster_43332_4.p2
Cluster-43332.4,Cluster_43332_4.p3
Cluster-54345.0,Cluster_54345_0.p1
Cluster-54345.0,Cluster_54345_0.p2
Cluster-2049.0,Cluster_2049_0.p1
Cluster-16504.1,Cluster_16504_1.p1
Cluster-5399.0,Cluster_5399_0.p1
Cluster-5399.0,Cluster_5399_0.p2
Cluster-5399.0,Cluster_5399_0.p3
Cluster-40559.0,Cluster_40559_0.p1
Cluster-40559.0,Cluster_40559_0.p2
Cluster-40559.0,Cluster_40559_0.p3
Cluster-11350.0,Cluster_11350_0.p1
Cluster-52142.0,Cluster_52142_0.p1
Cluster-52142.0,Cluster_52142_0.p2
Cluster-47117.0,Cluster_47117_0.p1
Cluster-47117.0,Cluster_47117_0.p2
Cluster-47117.0,Cluster_47117_0.p3
Cluster-47117.0,Cluster_47117_0.p4
Cluster-16485.0,Cluster_16485_0.p1
Cluster-1072.1,Cluster_1072_1.p1
Cluster-1072.6,Cluster_1072_6.p1
Cluster-1072.6,Cluster_1072_6.p2
Cluster-1072.6,Cluster_1072_6.p3
Cluster-36494.6,Cluster_36494_6.p1
Cluster-36494.6,Cluster_36494_6.p2
Cluster-36494.3,Cluster_36494_3.p1
Cluster-36494.3,Cluster_36494_3.p2
Cluster-36494.0,Cluster_36494_0.p1
Cluster-36494.0,Cluster_36494_0.p2
Cluster-42632.3,Cluster_42632_3.p1
Cluster-42632.3,Cluster_42632_3.p2
Cluster-42632.3,Cluster_42632_3.p3
Cluster-30080.0,Cluster_30080_0.p1
