Cluster	Protein	S320_1G_1_sorted	S320_1G_3_sorted	S320_1G_4_sorted	S320_1G_5_sorted	S320T_4G_2_sorted	S320T_4G_3_sorted	S320T_4G_5_sorted	SC_1G_2_sorted	SC_1G_3_sorted	SC_1G_5_sorted	SC_4G_1_sorted	SC_4G_2_sorted	SC_4G_3_sorted
Cluster-49324.8		17	1	21	10	6	3	23	8	37	33	2	9	4
Cluster-12711.0	KZR99951.1	0	0	2	0	1	3	77	0	0	21	3	0	58
Cluster-31289.0		3	5	1	0	3	5	1	1	6	5	4	2	2
Cluster-49324.9		19	13	26	13	1	14	18	13	51	29	9	9	16
Cluster-49324.9		19	13	26	13	1	14	18	13	51	29	9	9	16
Cluster-20514.0	QPO25084.1	0	3	2	3	2	1	0	2	9	3	8	8	21
Cluster-20514.0		0	3	2	3	2	1	0	2	9	3	8	8	21
Cluster-20514.0		0	3	2	3	2	1	0	2	9	3	8	8	21
Cluster-16394.1		0	0	2	0	0	1	0	0	4	0	0	0	3
Cluster-16394.1		0	0	2	0	0	1	0	0	4	0	0	0	3
Cluster-16394.0		0	0	4	1	0	0	0	0	2	0	0	0	3
Cluster-16394.0		0	0	4	1	0	0	0	0	2	0	0	0	3
Cluster-19936.0		0	22	3	27	5	4	2	2	3	4	2	1	2
Cluster-15386.0	XP_018026406.1	7	2	5	3	0	2	0	14	13	10	16	10	23
Cluster-44311.1		15	15	16	52	12	32	9	24	27	45	58	67	54
Cluster-44311.1	KAF2355931.1	15	15	16	52	12	32	9	24	27	45	58	67	54
Cluster-44311.2		68	39	17	16	64	12	57	13	68	56	34	30	46
Cluster-44311.2	KAF2355931.1	68	39	17	16	64	12	57	13	68	56	34	30	46
Cluster-15383.2	XP_018027264.1	15	20	34	19	8	21	5	33	39	15	72	55	31
Cluster-45116.2		7	12	8	12	23	15	10	16	22	14	23	15	29
Cluster-45116.2		7	12	8	12	23	15	10	16	22	14	23	15	29
Cluster-18511.1		0	1	0	0	0	1	0	3	4	2	0	0	1
Cluster-18511.1		0	1	0	0	0	1	0	3	4	2	0	0	1
Cluster-57119.0	KAF2367734.1	4	1	0	1	0	1	0	1	4	0	7	3	3
Cluster-57119.0		4	1	0	1	0	1	0	1	4	0	7	3	3
Cluster-12109.1	KAG6458659.1	1	0	0	1	1	1	0	0	5	0	0	0	2
Cluster-32425.0		3	1	0	1	0	4	1	0	1	2	0	0	3
Cluster-25131.2	KAF2351973.1	12	16	6	6	9	6	2	24	23	10	18	9	15
Cluster-25131.2		12	16	6	6	9	6	2	24	23	10	18	9	15
Cluster-25131.2		12	16	6	6	9	6	2	24	23	10	18	9	15
Cluster-51938.0	XP_018022220.1	341	384	230	407	574	532	480	293	358	330	279	468	390
Cluster-43702.0	XP_018016271.1	19	49	25	38	56	47	56	64	27	30	51	25	78
Cluster-43702.0		19	49	25	38	56	47	56	64	27	30	51	25	78
Cluster-53396.0	KAF2359876.1	533	488	293	464	503	566	410	363	351	327	279	267	288
Cluster-19867.0	KAF2358149.1	0	2	0	0	1	0	0	1	5	0	4	1	5
Cluster-61500.0	KAF2365773.1	2	2	3	0	1	0	1	0	3	0	1	1	6
Cluster-61500.0		2	2	3	0	1	0	1	0	3	0	1	1	6
Cluster-9900.0		2	0	0	1	1	0	0	3	2	5	2	2	3
Cluster-27302.0		0	10	0	11	5	8	12	0	2	1	0	3	1
Cluster-39457.1	KAF2346330.1	44	15	38	11	23	6	31	57	33	27	103	0	48
Cluster-39457.1		44	15	38	11	23	6	31	57	33	27	103	0	48
Cluster-27283.0		0	3	0	7	0	4	0	0	0	0	1	6	0
Cluster-57155.0		7	2	2	2	9	16	5	14	8	0	8	6	1
Cluster-57155.0		7	2	2	2	9	16	5	14	8	0	8	6	1
Cluster-42402.2	XP_018011834.1	33	16	18	23	20	14	12	68	52	13	47	35	51
Cluster-42402.2		33	16	18	23	20	14	12	68	52	13	47	35	51
Cluster-42402.2		33	16	18	23	20	14	12	68	52	13	47	35	51
Cluster-42402.2		33	16	18	23	20	14	12	68	52	13	47	35	51
Cluster-30226.0	KAF2362059.1	220	174	177	86	108	43	98	254	326	310	184	106	425
Cluster-30226.0		220	174	177	86	108	43	98	254	326	310	184	106	425
Cluster-30226.0		220	174	177	86	108	43	98	254	326	310	184	106	425
Cluster-30226.2		28	30	16	12	6	4	12	34	100	74	15	13	67
Cluster-53079.1	XP_040582507.1	5	9	3	6	13	18	7	7	18	11	7	4	4
Cluster-53079.1		5	9	3	6	13	18	7	7	18	11	7	4	4
Cluster-39235.1	XP_042233464.1	62	72	65	68	72	96	73	57	127	111	94	99	88
Cluster-39235.4	XP_042233464.1	74	109	79	84	87	78	89	72	93	52	100	109	105
Cluster-36017.1	XP_018018574.1	5	10	2	3	7	11	7	23	66	42	16	11	29
Cluster-36017.0	XP_018018574.1	4	6	0	8	2	1	1	14	21	23	13	27	26
Cluster-39695.7		14	30	9	21	1	1	1	46	16	12	23	6	16
Cluster-39695.7		14	30	9	21	1	1	1	46	16	12	23	6	16
Cluster-39695.7		14	30	9	21	1	1	1	46	16	12	23	6	16
Cluster-39695.8		88	188	51	78	14	21	0	240	81	43	152	77	65
Cluster-39695.8		88	188	51	78	14	21	0	240	81	43	152	77	65
Cluster-43631.1		10	82	32	1	3	1	27	27	13	0	3	47	150
Cluster-43631.1		10	82	32	1	3	1	27	27	13	0	3	47	150
Cluster-43642.0	XP_018018513.1	158	278	181	265	281	78	381	296	318	291	99	141	141
Cluster-43508.4	KAG0728076.1	794	803	652	810	982	542	823	986	604	702	571	396	713
Cluster-43508.5	KAG0728076.1	821	907	616	853	981	728	935	1092	716	906	677	443	722
Cluster-43508.6	KAG0728076.1	1105	1191	933	1087	1180	1008	907	1557	1100	1036	888	741	825
Cluster-43508.0	KAG0728076.1	1196	849	639	869	1865	682	1537	1009	722	807	790	709	1294
Cluster-43508.1	KAF2369154.1	453	506	338	359	707	359	538	769	518	326	408	248	663
Cluster-43508.2	XP_018019623.1	2196	2486	1883	2129	3140	1766	2945	3397	2307	2212	2048	1159	2481
Cluster-43508.3	XP_018019638.1	1805	2222	1497	1758	2615	1337	2365	2886	1870	1565	1646	997	2229
Cluster-43508.8	KAB7506731.1	240	286	253	239	370	175	466	475	326	297	243	150	399
Cluster-43508.9	ROT70125.1	1945	2028	1498	1782	2304	1539	1981	2804	1868	1791	1653	1145	1846
Cluster-43508.9	KAG0728076.1	1945	2028	1498	1782	2304	1539	1981	2804	1868	1791	1653	1145	1846
Cluster-43508.9	AEK11985.1	1945	2028	1498	1782	2304	1539	1981	2804	1868	1791	1653	1145	1846
Cluster-51377.1	KAF2361243.1	86	158	158	185	217	361	277	100	217	123	198	153	357
Cluster-51377.1		86	158	158	185	217	361	277	100	217	123	198	153	357
Cluster-50068.1	KAF2365691.1	10	38	14	34	20	27	4	4	27	19	34	9	18
Cluster-50373.0	XP_047735464.1	51	66	54	34	27	18	28	65	81	73	83	44	93
Cluster-50373.0		51	66	54	34	27	18	28	65	81	73	83	44	93
Cluster-50373.0		51	66	54	34	27	18	28	65	81	73	83	44	93
Cluster-50373.0		51	66	54	34	27	18	28	65	81	73	83	44	93
Cluster-50373.0		51	66	54	34	27	18	28	65	81	73	83	44	93
Cluster-13564.0		0	0	2	0	0	0	0	9	1	2	4	5	5
Cluster-7747.2		2	0	0	0	2	2	0	0	0	0	0	2	4
Cluster-53917.0	XP_027200343.1	38	146	6	210	25	12	24	12	4	9	38	26	10
Cluster-53917.0		38	146	6	210	25	12	24	12	4	9	38	26	10
Cluster-47492.1	KAA0190871.1	53	151	161	59	405	32	540	61	203	247	129	56	217
Cluster-47492.1		53	151	161	59	405	32	540	61	203	247	129	56	217
Cluster-47492.2	KAA0190871.1	101	191	306	115	431	48	561	74	173	127	111	57	199
Cluster-47492.2		101	191	306	115	431	48	561	74	173	127	111	57	199
Cluster-43263.32		492	782	583	986	725	870	494	676	672	745	607	446	619
Cluster-43263.32		492	782	583	986	725	870	494	676	672	745	607	446	619
Cluster-50569.1	XP_018018479.1	32	38	11	51	10	21	1	89	26	16	75	26	16
