Cluster	Protein	S320_1G_1_sorted	S320_1G_3_sorted	S320_1G_4_sorted	S320_1G_5_sorted	S320T_4G_2_sorted	S320T_4G_3_sorted	S320T_4G_5_sorted	SC_1G_2_sorted	SC_1G_3_sorted	SC_1G_5_sorted	SC_4G_1_sorted	SC_4G_2_sorted	SC_4G_3_sorted
Cluster-69.0	XP_047738252.1	14	79	96	21	13	12	14	18	390	3	209	247	242
Cluster-98.3	ROT76951.1	2	6	7	3	4	2	6	0	4	5	4	0	11
Cluster-98.4	ROT76951.1	1	5	2	0	5	2	4	1	5	4	0	1	38
Cluster-98.5	KAB7504588.1	1	1	0	2	1	0	3	1	2	1	0	0	4
Cluster-98.6	ROT76951.1	3	1	5	9	0	0	1	4	10	5	1	0	14
Cluster-100.12	XP_018006823.1	103	92	121	74	183	135	347	121	649	752	63	67	524
Cluster-106.0	KAF2354281.1	0	0	0	0	0	0	0	0	0	0	0	0	10
Cluster-127.4	KAF2352286.1	16	7	11	14	825	2205	1072	6	89	132	35	22	1420
Cluster-127.5	KAF2352286.1	18	23	11	10	997	2581	1272	11	136	203	55	24	1911
Cluster-248.0	KRT78675.1	0	0	0	0	0	0	0	0	0	0	0	10	0
Cluster-266.0	XP_018022290.1	0	0	0	0	0	0	0	0	0	0	0	1	21
Cluster-266.1	XP_018022290.1	0	0	0	0	0	0	0	0	0	0	3	3	3
Cluster-267.5	KAF2350863.1	350	234	183	264	240	238	179	559	340	426	272	204	230
Cluster-267.5	KAH9415148.1	350	234	183	264	240	238	179	559	340	426	272	204	230
Cluster-267.6	KAF2350863.1	331	311	217	395	254	306	184	402	297	338	216	158	185
Cluster-267.6	KAH9415148.1	331	311	217	395	254	306	184	402	297	338	216	158	185
Cluster-267.7	KAF2350863.1	265	316	146	335	268	156	81	318	221	192	344	166	190
Cluster-267.7	KAH9415148.1	265	316	146	335	268	156	81	318	221	192	344	166	190
Cluster-286.0	XP_018007060.2	0	0	0	0	38	0	0	0	0	0	0	109	0
Cluster-286.1	XP_018007060.2	0	0	0	0	0	0	4	0	0	0	0	160	1
Cluster-320.4	KAF2359866.1	102	123	158	111	95	65	108	213	134	87	111	58	154
Cluster-336.2	XP_047108465.1	267	373	504	452	463	354	251	542	624	682	358	734	385
Cluster-392.2	XP_018020195.1	0	1	0	0	0	0	0	0	9	0	41	127	0
Cluster-392.3	XP_018020195.1	0	0	4	0	0	0	0	0	1	0	124	28	0
Cluster-392.4	XP_018020195.1	0	0	0	0	0	0	0	0	16	0	74	127	0
Cluster-392.6	XP_018020195.1	0	0	0	0	0	0	0	0	60	0	151	75	2
Cluster-393.2	XP_045605012.1	0	0	0	6	0	0	1	3	49	0	11	678	64
Cluster-393.3	KAJ9587155.1	0	0	0	0	0	5	0	0	13	0	0	37	6
Cluster-404.2	XP_018019030.1	0	0	0	5	0	0	0	0	102	0	208	152	62
Cluster-405.1	KAF2351535.1	3	15	0	3	4	11	8	18	2	3	11	123	120
Cluster-405.3	KAF2351535.1	6	1	2	0	3	5	5	3	2	3	3	127	106
Cluster-405.4	KAF2351535.1	14	13	2	3	9	3	2	8	22	28	8	116	133
Cluster-406.1	XP_018013302.1	950	368	2394	148	668	415	1146	262	426	429	135	193	317
Cluster-406.2	XP_018013303.1	161	85	722	41	150	61	179	64	112	96	33	34	106
Cluster-406.3	XP_047737849.1	0	0	0	0	0	0	0	1	2	0	0	21	0
Cluster-406.4	XP_047737849.1	0	1	0	1	0	0	0	0	1	2	0	274	1
Cluster-406.9	KAG0730179.1	7	9	154	1	15	6	29	18	25	16	10	6	59
Cluster-433.1	XP_018024859.1	26	58	29	74	18	22	40	62	42	32	50	67	43
Cluster-469.11	XP_018019229.1	0	0	0	0	0	0	0	0	0	0	0	8	0
Cluster-470.0	RWS05415.1	0	3	0	1	1	2	0	1	2	6	1	2	4
Cluster-470.1	CAF4832932.1	0	1	0	2	0	0	0	1	3	1	0	0	1
Cluster-470.2	PNF20141.1	3	2	0	2	1	1	2	2	9	10	14	7	1
Cluster-470.3	CAF4832932.1	6	3	2	8	5	0	2	3	11	12	20	34	5
Cluster-470.5	RWS05415.1	0	0	0	0	0	1	0	0	0	2	3	0	0
Cluster-475.2	XP_018012680.1	26	144	192	41	365	272	552	70	386	347	49	34	357
Cluster-475.3	XP_018012680.1	22	140	176	40	170	282	272	50	189	190	53	43	346
Cluster-475.4	XP_018012680.1	12	51	51	12	334	116	607	33	112	113	33	12	428
Cluster-475.5	XP_018012680.1	16	101	66	18	126	170	282	75	132	107	51	25	273
Cluster-475.9	XP_018012680.1	26	77	86	28	239	137	355	32	186	195	28	31	220
Cluster-475.10	XP_018012680.1	38	229	205	40	285	452	440	105	499	489	102	51	670
Cluster-495.0	QQP52177.1	0	0	0	0	0	0	0	0	0	0	0	4	6
Cluster-512.2	XP_018024588.1	72	165	177	166	106	57	95	136	357	77	314	397	319
Cluster-512.3	XP_018024588.1	95	82	125	127	72	48	44	103	225	68	342	349	311
Cluster-584.0	KAF2355351.1	22	22	5	26	5	8	12	124	78	36	25	26	30
Cluster-584.0	KAG0716658.1	22	22	5	26	5	8	12	124	78	36	25	26	30
Cluster-584.1	KAF2355351.1	5	28	1	23	15	2	11	69	31	8	21	35	36
Cluster-584.2	KAF2355351.1	24	49	5	32	26	11	22	91	65	38	44	69	42
Cluster-586.2	ROT70531.1	143	191	357	125	246	43	107	175	225	187	268	126	193
Cluster-586.3	ROT70531.1	81	179	169	200	120	34	83	227	194	163	130	90	257
Cluster-35201.1	KAF2368166.1	308	1033	351	1338	2023	1248	2859	118	206	213	840	519	726
Cluster-44095.2	KAF2360223.1	1928	1725	1770	1417	7314	2404	6410	4058	7059	7753	1705	791	2219
Cluster-44095.3	KAF2360223.1	2169	1650	1970	1679	7309	3148	6128	4423	8746	10230	1898	797	2676
Cluster-44095.4	BAN21605.1	2428	1952	2238	1823	7240	3333	6226	4643	9195	10440	2032	911	2867
Cluster-44095.4	KAF2360223.1	2428	1952	2238	1823	7240	3333	6226	4643	9195	10440	2032	911	2867
Cluster-20887.1	XP_018007939.1	0	12	8	3	47	53	58	7	443	51	1727	182	751
Cluster-20887.2	XP_018007939.1	1	13	1	1	43	57	50	2	482	38	870	267	1152
Cluster-41387.2	KAF2351363.1	25	16	39	24	149	300	176	57	321	290	29	23	80
Cluster-36920.1	XP_018014848.1	36	143	489	0	0	0	0	0	20	0	1	1	21
Cluster-36920.3	XP_018014848.1	108	124	1263	0	0	0	2	0	16	1	0	0	13
Cluster-36920.4	KAF2365300.1	107	740	1280	1	0	0	3	2	79	1	2	1	118
Cluster-36920.5	XP_018014848.1	1062	1229	9196	0	3	3	6	0	137	1	0	2	66
Cluster-36920.7	KAF2365300.1	752	1241	5457	0	3	0	3	1	153	1	2	4	163
Cluster-36920.8	XP_018015052.1	1523	2619	10763	1	8	2	59	5	179	10	0	1	317
Cluster-36920.9	XP_018015052.1	15	228	344	1	0	0	1	0	6	0	0	0	90
Cluster-36920.10	KAF2365300.1	271	1516	664	0	0	0	1	0	155	0	4	1	222
Cluster-36920.11	XP_018014848.1	451	53	1176	0	0	0	1	0	97	0	0	0	7
Cluster-36920.12	KAF2365300.1	177	326	1262	0	1	0	1	1	44	0	0	0	26
Cluster-36920.14	XP_018014848.1	478	0	4368	0	0	0	2	0	98	0	4	1	1
Cluster-42173.1	XP_018015052.1	1275	2079	17338	3	2	5	26	1	260	7	1	0	145
Cluster-31501.0	KAF2360184.1	80	154	94	178	48	37	89	67	57	30	125	79	81
Cluster-38347.0	KAF2359488.1	43	20	70	19	6	13	2	3	478	0	608	361	634
Cluster-41078.1	XP_042204314.1	21	36	31	29	11	19	4	60	92	43	52	82	90
Cluster-35240.5	XP_045624475.1	196	535	239	0	4	3	32	0	193	2	96	29	353
Cluster-46081.0	KAA0193584.1	25	661	143	12	121	56	30	33	35748	20	9175	549	4845
Cluster-42751.1	XP_047741525.1	97	63	73	44	57	53	53	97	89	76	129	146	131
Cluster-643.3	XP_022249736.1	7	5	75	3	3	0	0	6	381	1	13	4	76
Cluster-643.4	XP_018018651.1	123	138	121	208	208	231	202	128	127	162	180	162	164
Cluster-643.5	XP_018018651.1	470	801	366	870	740	1072	720	747	655	595	909	982	831
Cluster-643.6	XP_018018651.1	477	633	381	755	727	862	670	575	1327	609	765	807	823
Cluster-643.6	XP_022249736.1	477	633	381	755	727	862	670	575	1327	609	765	807	823
Cluster-40145.0	KAF2354403.1	23	75	16	96	72	44	67	111	40	44	79	196	164
Cluster-40145.1	KAF2354403.1	21	52	11	34	38	46	35	69	72	14	111	300	78
Cluster-40145.2	KAF2354403.1	10	56	23	35	77	50	82	116	66	37	81	171	118
Cluster-40145.4	KAF2354403.1	42	59	90	57	20	50	24	80	58	27	102	315	126
Cluster-40145.5	KAF2354403.1	51	106	42	145	91	64	80	125	126	85	184	362	206
Cluster-34904.10	XP_047740960.1	17	10	93	3	1	3	0	0	183	0	30	16	148
Cluster-34904.11	XP_047740960.1	14	8	42	3	1	8	3	3	303	0	66	20	193
Cluster-34904.12	XP_018027510.1	3	6	48	0	0	1	2	0	235	0	31	18	212
Cluster-34904.13	XP_045585502.1	226	458	227	655	379	394	396	205	257	169	333	328	329
Cluster-34904.14	KAF2353554.1	267	533	278	828	551	478	535	269	364	242	403	302	397
Cluster-34904.15	XP_045585502.1	162	341	124	394	241	243	244	144	195	115	208	331	235
Cluster-34904.17	KAF2353554.1	121	242	101	285	228	255	245	158	214	121	204	151	168
Cluster-34904.21	KAA0202033.1	15	14	80	1	0	1	0	0	182	1	20	15	151
Cluster-34904.22	XP_053627780.1	0	0	6	0	0	0	0	0	14	0	2	2	22
Cluster-34904.24	XP_018027510.1	102	63	490	0	1	8	0	2	806	0	137	97	478
Cluster-34904.25	XP_018027510.1	5	0	24	0	0	0	0	0	88	0	3	4	23
Cluster-34904.26	XP_018027510.1	4	9	23	0	1	0	0	0	107	0	34	2	103
